file,header,year,seq_len,uncompressed_bytes,zlib_bytes,compression_ratio,bytes_per_base,bits_per_base,two_bit_bytes,ratio_vs_2bit,excess_bits_per_base,overhead_bits_hat,bits_per_base_corrected,ncbi_accession,ncbi_submission_date,ncbi_n_contigs
GCA_000272835.5_ASM27283v5_genomic.fna,"CP010284.2 Salmonella enterica subsp. enterica serovar Newport str. CVM N1543, complete genome ;(+2 contigs)",2024,5005248,5005248,1401622,0.2800304800081834,0.2800304800081834,2.2402438400654674,1251312,1.1201219200327337,0.2402438400654674,28895924.0,0.0,GCA_000272835.5,2024-04-12,3
GCA_000806805.2_ASM80680v2_genomic.fna,"CP074257.1 Salmonella enterica subsp. enterica serovar Infantis strain CFSAN024778 chromosome, complete genome",2021,4713725,4713725,1319954,0.2800235482553607,0.2800235482553607,2.2401883860428855,1178432,1.120093480149894,0.2401883860428855,27149924.0,0.0,GCA_000806805.2,2021-05-11,1
GCA_000806925.2_ASM80692v2_genomic.fna,"CP074259.1 Salmonella enterica subsp. enterica serovar Anatum strain CFSAN024763 chromosome, complete genome",2021,4710942,4710942,1319722,0.28013972577034485,0.28013972577034485,2.241117806162759,1177736,1.1205584273555365,0.2411178061627588,27131924.0,0.0,GCA_000806925.2,2021-05-11,1
GCA_000732045.2_ASM73204v2_genomic.fna,"CP075037.1 Salmonella enterica subsp. enterica serovar Give strain CFSAN012622 chromosome, complete genome ;(+1 contigs)",2021,4767676,4767676,1335966,0.28021325274620174,0.28021325274620174,2.241706021969614,1191919,1.120853010984807,0.24170602196961388,27473924.0,0.0,GCA_000732045.2,2021-05-27,2
GCA_000806645.2_ASM80664v2_genomic.fna,"CP074258.1 Salmonella enterica subsp. enterica serovar Brandenburg strain CFSAN024765 chromosome, complete genome",2021,4432567,4432567,1241891,0.2801742195887846,0.2801742195887846,2.2413937567102766,1108142,1.1206966255227218,0.24139375671027663,25463924.0,0.0,GCA_000806645.2,2021-05-11,1
GCA_000806845.2_ASM80684v2_genomic.fna,"CP074260.1 Salmonella enterica subsp. enterica serovar Senftenberg strain CFSAN024722 chromosome, complete genome",2021,4806998,4806998,1345616,0.27992855416207785,0.27992855416207785,2.239428433296623,1201750,1.1197137507801123,0.23942843329662278,27707924.0,0.0,GCA_000806845.2,2021-05-11,1
GCA_000487215.2_ASM48721v2_genomic.fna,"CP149432.1 Salmonella enterica subsp. enterica serovar Give strain CFSAN001314 chromosome, complete genome",2024,4750116,4750116,1330752,0.28015147419557757,0.28015147419557757,2.2412117935646205,1187529,1.1206058967823103,0.24121179356462052,27365924.0,0.0,GCA_000487215.2,2024-04-01,1
GCA_000486545.2_ASM48654v2_genomic.fna,"CP150071.1 Salmonella enterica subsp. enterica serovar Saintpaul str. JO2008 chromosome, complete genome",2024,4731544,4731544,1325014,0.28003839761397126,0.28003839761397126,2.24030718091177,1182886,1.120153590455885,0.24030718091177006,27257924.0,0.0,GCA_000486545.2,2024-05-02,1
GCA_000487275.2_ASM48727v2_genomic.fna,"CP149522.1 Salmonella enterica subsp. enterica serovar Cerro str. 818 chromosome, complete genome ;(+7 contigs)",2024,4800943,4800943,1342557,0.2796444365200753,0.2796444365200753,2.2371554921606025,1200236,1.1185775130890925,0.2371554921606025,27671924.0,0.0,GCA_000487275.2,2024-05-02,8
GCA_000272535.3_ASM27253v3_genomic.fna,"CP140746.2 Salmonella enterica subsp. enterica serovar Newport str. CVM 35188 chromosome, complete genome ;(+1 contigs)",2025,4759223,4759223,1332944,0.2800759703842413,0.2800759703842413,2.2406077630739305,1189806,1.1203036461406313,0.2406077630739305,27419924.0,0.0,GCA_000272535.3,2025-04-04,2
