accession,year,n_bases,optimal_2bit_bytes,zlib_bytes,zlib_bytes_corrected,n_contigs,file
GCA_000978815.2,2021,5750490,1437622.5,1610030,1601789.5,3,GCA_000978815.2_ASM97881v2_genomic.fna
GCA_000978845.2,2021,5639358,1409839.5,1578826,1570585.5,2,GCA_000978845.2_ASM97884v2_genomic.fna
GCA_001677475.2,2021,5848780,1462195.0,1638531,1630290.5,3,GCA_001677475.2_ASM167747v2_genomic.fna
GCA_002967855.2,2021,4876258,1219064.5,1366528,1358287.5,2,GCA_002967855.2_ASM296785v2_genomic.fna
GCA_002967875.2,2021,5325373,1331343.25,1491693,1483452.5,2,GCA_002967875.2_ASM296787v2_genomic.fna
GCA_002967885.2,2021,4854424,1213606.0,1359882,1351641.5,2,GCA_002967885.2_ASM296788v2_genomic.fna
GCA_002967935.2,2021,4879679,1219919.75,1367789,1359548.5,2,GCA_002967935.2_ASM296793v2_genomic.fna
GCA_002967955.2,2021,4848130,1212032.5,1358039,1349798.5,2,GCA_002967955.2_ASM296795v2_genomic.fna
GCA_002967975.2,2021,4878739,1219684.75,1367243,1359002.5,2,GCA_002967975.2_ASM296797v2_genomic.fna
GCA_004263675.3,2021,5723999,1430999.75,1602730,1594489.5,4,GCA_004263675.3_ASM426367v3_genomic.fna
GCA_004355105.2,2021,4624857,1156214.25,1296030,1287789.5,1,GCA_004355105.2_ASM435510v2_genomic.fna
GCA_005383105.2,2021,5432181,1358045.25,1521301,1513060.5,2,GCA_005383105.2_ASM538310v2_genomic.fna
GCA_005389605.2,2021,5317281,1329320.25,1488446,1480205.5,9,GCA_005389605.2_ASM538960v2_genomic.fna
GCA_005391285.2,2021,5381024,1345256.0,1507518,1499277.5,3,GCA_005391285.2_ASM539128v2_genomic.fna
GCA_005393605.2,2021,5469393,1367348.25,1532883,1524642.5,4,GCA_005393605.2_ASM539360v2_genomic.fna
GCA_005396225.2,2021,5073921,1268480.25,1419671,1411430.5,1,GCA_005396225.2_ASM539622v2_genomic.fna
GCA_006536085.3,2021,4877467,1219366.75,1367706,1359465.5,1,GCA_006536085.3_ASM653608v3_genomic.fna
GCA_006537505.3,2021,4780380,1195095.0,1340134,1331893.5,1,GCA_006537505.3_ASM653750v3_genomic.fna
GCA_007954215.2,2021,5102126,1275531.5,1428441,1420200.5,2,GCA_007954215.2_ASM795421v2_genomic.fna
GCA_008634095.2,2021,5679872,1419968.0,1588589,1580348.5,3,GCA_008634095.2_ASM863409v2_genomic.fna
GCA_008635785.2,2021,5502355,1375588.75,1539679,1531438.5,2,GCA_008635785.2_ASM863578v2_genomic.fna
GCA_011853505.2,2021,5650179,1412544.75,1582075,1573834.5,2,GCA_011853505.2_ASM1185350v2_genomic.fna
GCA_011853625.2,2021,5631094,1407773.5,1576843,1568602.5,2,GCA_011853625.2_ASM1185362v2_genomic.fna
GCA_012097945.2,2021,5620915,1405228.75,1573945,1565704.5,2,GCA_012097945.2_ASM1209794v2_genomic.fna
GCA_012098715.2,2021,5623466,1405866.5,1574643,1566402.5,2,GCA_012098715.2_ASM1209871v2_genomic.fna
GCA_012099675.2,2021,5621412,1405353.0,1574077,1565836.5,2,GCA_012099675.2_ASM1209967v2_genomic.fna
GCA_012100495.2,2021,5566368,1391592.0,1558772,1550531.5,2,GCA_012100495.2_ASM1210049v2_genomic.fna
GCA_012100875.2,2021,5620522,1405130.5,1573833,1565592.5,2,GCA_012100875.2_ASM1210087v2_genomic.fna
GCA_012101175.2,2021,5621631,1405407.75,1574195,1565954.5,2,GCA_012101175.2_ASM1210117v2_genomic.fna
GCA_012107915.2,2021,5737238,1434309.5,1598361,1590120.5,4,GCA_012107915.2_ASM1210791v2_genomic.fna
GCA_012108755.2,2021,5621337,1405334.25,1574085,1565844.5,2,GCA_012108755.2_ASM1210875v2_genomic.fna
GCA_012109035.2,2021,5630934,1407733.5,1576914,1568673.5,4,GCA_012109035.2_ASM1210903v2_genomic.fna
GCA_012152785.2,2021,5649087,1412271.75,1582031,1573790.5,2,GCA_012152785.2_ASM1215278v2_genomic.fna
GCA_012184185.2,2021,5649330,1412332.5,1582285,1574044.5,2,GCA_012184185.2_ASM1218418v2_genomic.fna
GCA_012186145.2,2021,5631094,1407773.5,1577115,1568874.5,2,GCA_012186145.2_ASM1218614v2_genomic.fna
GCA_012194265.2,2021,5649370,1412342.5,1582070,1573829.5,2,GCA_012194265.2_ASM1219426v2_genomic.fna
