accession,year,n_bases,optimal_2bit_bytes,zlib_bytes,zlib_bytes_corrected,n_contigs,file
GCA_001597795.2,2020,4917159,1229289.75,1373473,1365232.5,2,GCA_001597795.2_ASM159779v2_genomic.fna
GCA_005414475.2,2020,5010125,1252531.25,1402353,1394112.5,2,GCA_005414475.2_ASM541447v2_genomic.fna
GCA_005415515.2,2020,5026871,1256717.75,1407469,1399228.5,2,GCA_005415515.2_ASM541551v2_genomic.fna
GCA_005447485.2,2020,5025382,1256345.5,1407336,1399095.5,2,GCA_005447485.2_ASM544748v2_genomic.fna
GCA_005447645.2,2020,5017400,1254350.0,1404797,1396556.5,2,GCA_005447645.2_ASM544764v2_genomic.fna
GCA_005545055.2,2020,5030567,1257641.75,1408558,1400317.5,2,GCA_005545055.2_ASM554505v2_genomic.fna
GCA_005549915.2,2020,5023892,1255973.0,1406357,1398116.5,2,GCA_005549915.2_ASM554991v2_genomic.fna
GCA_005601095.2,2020,4455450,1113862.5,1248640,1240399.5,1,GCA_005601095.2_ASM560109v2_genomic.fna
GCA_005767655.2,2020,5021510,1255377.5,1405971,1397730.5,2,GCA_005767655.2_ASM576765v2_genomic.fna
GCA_005870975.2,2020,4849707,1212426.75,1358960,1350719.5,2,GCA_005870975.2_ASM587097v2_genomic.fna
GCA_006051055.2,2020,4925620,1231405.0,1377918,1369677.5,1,GCA_006051055.2_ASM605105v2_genomic.fna
GCA_006051135.2,2020,4612001,1153000.25,1291832,1283591.5,1,GCA_006051135.2_ASM605113v2_genomic.fna
GCA_006112595.2,2020,4629168,1157292.0,1295552,1287311.5,2,GCA_006112595.2_ASM611259v2_genomic.fna
GCA_006461415.2,2020,4897518,1224379.5,1370499,1362258.5,2,GCA_006461415.2_ASM646141v2_genomic.fna
GCA_006685825.2,2020,5050858,1262714.5,1414068,1405827.5,2,GCA_006685825.2_ASM668582v2_genomic.fna
GCA_006695545.2,2020,5120663,1280165.75,1433640,1425399.5,2,GCA_006695545.2_ASM669554v2_genomic.fna
GCA_006696945.2,2020,4761338,1190334.5,1333598,1325357.5,1,GCA_006696945.2_ASM669694v2_genomic.fna
GCA_006697045.2,2020,4978350,1244587.5,1394532,1386291.5,3,GCA_006697045.2_ASM669704v2_genomic.fna
GCA_006760965.2,2020,5648353,1412088.25,1581523,1573282.5,2,GCA_006760965.2_ASM676096v2_genomic.fna
GCA_006967565.2,2020,5183043,1295760.75,1451842,1443601.5,3,GCA_006967565.2_ASM696756v2_genomic.fna
GCA_007019045.2,2020,4731255,1182813.75,1325898,1317657.5,2,GCA_007019045.2_ASM701904v2_genomic.fna
GCA_007758295.2,2020,5161618,1290404.5,1445431,1437190.5,2,GCA_007758295.2_ASM775829v2_genomic.fna
GCA_007765355.2,2020,4957009,1239252.25,1388160,1379919.5,2,GCA_007765355.2_ASM776535v2_genomic.fna
GCA_007765995.2,2020,5129736,1282434.0,1436681,1428440.5,1,GCA_007765995.2_ASM776599v2_genomic.fna
GCA_007815565.2,2020,5034420,1258605.0,1410623,1402382.5,2,GCA_007815565.2_ASM781556v2_genomic.fna
GCA_007816835.2,2020,4985298,1246324.5,1396552,1388311.5,2,GCA_007816835.2_ASM781683v2_genomic.fna
GCA_007864305.2,2020,4662734,1165683.5,1305687,1297446.5,1,GCA_007864305.2_ASM786430v2_genomic.fna
GCA_007977065.2,2020,5043012,1260753.0,1411775,1403534.5,2,GCA_007977065.2_ASM797706v2_genomic.fna
GCA_008457375.2,2020,5027318,1256829.5,1407762,1399521.5,2,GCA_008457375.2_ASM845737v2_genomic.fna
